perspective_calendar_event,CS,CE,AE,AS,TV,OH,CH,SH,MI,ID,MS,MD,MA,MU,MH,WN,AD,`AD_0.33`,`AD_0.5`,IO,`IO_0.33`,`IO_0.5`,IS,`IS_0.33`,`IS_0.5`,OA,`OA_0.33`,`OA_0.5`,OI,`OI_0.33`,`OI_0.5`,OO,`OO_0.33`,`OO_0.5`,OS,`OS_0.33`,`OS_0.5`,OV,`OV_0.33`,`OV_0.5`,PT,`PT_0.33`,`PT_0.5`,SD,`SD_0.33`,`SD_0.5`,SI,`SI_0.33`,`SI_0.5`,SN,`SN_0.33`,`SN_0.5`,SO,`SO_0.33`,`SO_0.5`,SP,`SP_0.33`,`SP_0.5`,WO
SD_0.5,,,,,,,,,,REQUIRED,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN
SI,,,,,,,,,,FORBIDDEN,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
SI_0.33,,,,,,,,,,REQUIRED,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN
SI_0.5,,,,,,,,,,REQUIRED,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN
SN,,,,,,,,,,FORBIDDEN,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
SN_0.33,,,,,,,,,,REQUIRED,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN
SN_0.5,,,,,,,,,,REQUIRED,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN
SO,,,,,,,,,,FORBIDDEN,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
SO_0.33,,,,,,,,,,REQUIRED,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN
SO_0.5,,,,,,,,,,REQUIRED,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,FORBIDDEN
SP,,,,,,,,,,FORBIDDEN,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN
SP_0.33,,,,,,,,,,REQUIRED,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN
SP_0.5,,,,,,,,,,REQUIRED,,,,,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN
WO,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE
