student_characteristic,stuchar_school_year_start,stuchar_school_year_end,is_funding_ineligible,is_econ_disadvantaged
FundineligI20,2025,,Y,N
FundineligOOS,2025,,Y,N
I,2025,,N,Y
J,2025,,N,Y
H,2025,,N,Y
U,2025,,N,Y
FOS01,2025,,N,Y
SN,2025,,N,Y
TO,2025,,N,Y
